Designator,Footprint,Quantity,Value,LCSC Part #
BOOTSEL,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1,SW_Push,
"C1, C10, C5, C6, C7, C9",0402,6,4.7u,
"C11, C12, C13, C15, C16, C17, C18, C19, C2, C20, C23, C28, C30, C32, C34, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C58, C8",0402,30,0.1u,
"C21, C22, C38, C41, C42, C56, C57",0402,7,1u,
"C24, C25, C29, C31, C33, C35",0402,6,10u,
"C26, C27",0402,2,2.2u,
"C3, C4",0402,2,15p,
"C36, C37",0402,2,2.2n,
"C39, C40",0402,2,1.5u,
C59,0402,1,1n,
DEBUG,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,
DS1,LCD_NHD-C12832A1Z-FSW-FBW-3V3,1,NHD-C12832A1Z-FSW-FBW-3V3,
J1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,JST_PH_BATT_CONN,
J3,CUI_MSD-4-A,1,MSD-4-A,
J5,CONN_8p94X6p5X3p16_12L_GCC,1,USB4215-03-A,
J6,PinHeader_1x06_P1.00mm_Vertical,1,Conn_01x06_Pin,
J7,KYCON_STX-3000,1,AudioJack3,
L1,L_pol_2016,1,3.3u,
Q2,SOT-23,1,2N7002,
"R1, R14, R21, R23, R24, R29, R31, R33, R35, R39, R40, R41, R42, R43",0402,14,10k,
"R15, R16",0402,2,470,
R17,0402,1,1.2M,
R18,0402,1,3.0M,
R19,0402,1,82.0k,
"R2, R20, R22, R28, R30, R32, R4, R6",0402,8,1k,
R3,0402,1,2k,
R36,0402,1,10,
"R37, R38",0402,2,5k1,
R5,0402,1,33,
"R7, R8",0402,2,27,
"SW2, SW3, SW4",SW4_1825910-B_TEC,3,SW_MEC_5E,
"SW5, SW6",SW2_1825027-A_TEC,2,SW_Push_Shielded,
SW9,OS102011MA1QN1_CNK,1,EG1213,
U1,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,
U10,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSS,
U2,SOT-23-5,1,MCP73832-2-OT,
U3,SOT-23-5,1,MCP6001-OT,
"U4, U7",SOT-363_SC-70-6,2,LM66100DCK,
U5,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5101A,
U6,PW14,1,TPA6139A2PWR,
"U8, U9",SOT23-5-A_TPK,2,TPL730F33-5TR,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
